TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D1,All,cobweb4v,350,1,0.1795
D2,All,cobweb4v,350,1,0.3531
D3,All,cobweb4v,350,1,0.3671
D4,All,cobweb4v,350,1,0.3835
D5,All,cobweb4v,350,1,0.4147
D6,All,cobweb4v,350,1,0.4267
D7,All,cobweb4v,350,1,0.4555
D8,All,cobweb4v,350,1,0.4725
D9,All,cobweb4v,350,1,0.5
D10,All,cobweb4v,350,1,0.4959
D11,All,cobweb4v,350,1,0.5057
D12,All,cobweb4v,350,1,0.521
D13,All,cobweb4v,350,1,0.5282
D14,All,cobweb4v,350,1,0.5443
D15,All,cobweb4v,350,1,0.5431
D16,All,cobweb4v,350,1,0.563
D17,All,cobweb4v,350,1,0.5771
D18,All,cobweb4v,350,1,0.5951
D19,All,cobweb4v,350,1,0.6223
D20,All,cobweb4v,350,1,0.627
D21,All,cobweb4v,350,1,0.6332
D22,All,cobweb4v,350,1,0.6523
D23,All,cobweb4v,350,1,0.6406
D24,All,cobweb4v,350,1,0.6609
D25,All,cobweb4v,350,1,0.653
D26,All,cobweb4v,350,1,0.6541
D27,All,cobweb4v,350,1,0.6533
D28,All,cobweb4v,350,1,0.6623
D29,All,cobweb4v,350,1,0.6832
D30,All,cobweb4v,350,1,0.6886
D31,All,cobweb4v,350,1,0.6914
D32,All,cobweb4v,350,1,0.6972
D33,All,cobweb4v,350,1,0.6994
D34,All,cobweb4v,350,1,0.704
D35,All,cobweb4v,350,1,0.707
D36,All,cobweb4v,350,1,0.7116
D37,All,cobweb4v,350,1,0.7084
D38,All,cobweb4v,350,1,0.7114
D39,All,cobweb4v,350,1,0.7139
D40,All,cobweb4v,350,1,0.717
D41,All,cobweb4v,350,1,0.7171
D42,All,cobweb4v,350,1,0.7167
D43,All,cobweb4v,350,1,0.7206
D44,All,cobweb4v,350,1,0.7233
D45,All,cobweb4v,350,1,0.7202
D46,All,cobweb4v,350,1,0.726
D47,All,cobweb4v,350,1,0.7254
D48,All,cobweb4v,350,1,0.7253
D49,All,cobweb4v,350,1,0.7286
D50,All,cobweb4v,350,1,0.7335
D51,All,cobweb4v,350,1,0.7309
D52,All,cobweb4v,350,1,0.7309
D53,All,cobweb4v,350,1,0.7317
D54,All,cobweb4v,350,1,0.7362
D55,All,cobweb4v,350,1,0.7338
D56,All,cobweb4v,350,1,0.7387
D57,All,cobweb4v,350,1,0.7455
D58,All,cobweb4v,350,1,0.7476
D59,All,cobweb4v,350,1,0.7497
D60,All,cobweb4v,350,1,0.7527
D61,All,cobweb4v,350,1,0.7583
D62,All,cobweb4v,350,1,0.7578
D63,All,cobweb4v,350,1,0.7581
D64,All,cobweb4v,350,1,0.7631
