TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D6000,All,fc,450,1,0.960600019
D6000,All,fc,123,1,0.963800013
D6000,All,fc,0,1,0.948099971
D6000,All,fc,456,1,0.952899992
D6000,All,fc,250,1,0.950999975
D6000,All,fc,550,1,0.948400021
D6000,All,fc,150,1,0.92869997
D6000,All,fc,350,1,0.954699993
D6000,All,fc,789,1,0.954299986
D6000,All,fc,50,1,0.950299978
D6000,All,fc-cnn,789,1,0.97390002
D6000,All,fc-cnn,150,1,0.976400018
D6000,All,fc-cnn,350,1,0.974300027
D6000,All,fc-cnn,550,1,0.979600012
D6000,All,fc-cnn,0,1,0.962300003
D6000,All,fc-cnn,456,1,0.961600006
D6000,All,fc-cnn,250,1,0.982200027
D6000,All,fc-cnn,50,1,0.970600009
D6000,All,fc-cnn,450,1,0.97240001
D6000,All,fc-cnn,123,1,0.981700003
D6000,All,cobweb4v,350,1,0.9516
D6000,All,cobweb4v,150,1,0.9507
D6000,All,cobweb4v,550,1,0.9554
D6000,All,cobweb4v,456,1,0.9537
D6000,All,cobweb4v,250,1,0.9484
D6000,All,cobweb4v,123,1,0.9543
D6000,All,cobweb4v,450,1,0.9512
D6000,All,cobweb4v,789,1,0.948
D6000,All,cobweb4v,0,1,0.9507
D6000,All,cobweb4v,50,1,0.9497
