TrainSet,TestSet,Model,Seed,Experiment,TestAccuracy
D1,L0,fc-cnn-replay,250,2,0.98934108
D2,L0,fc-cnn-replay,250,2,0.96414727
D3,L0,fc-cnn-replay,250,2,0.880813956
D4,L0,fc-cnn-replay,250,2,0.730620146
D5,L0,fc-cnn-replay,250,2,0.506782949
D6,L0,fc-cnn-replay,250,2,0.462209314
D7,L0,fc-cnn-replay,250,2,0.325581402
D8,L0,fc-cnn-replay,250,2,0.368217051
D9,L0,fc-cnn-replay,250,2,0.224806204
D10,L0,fc-cnn-replay,250,2,0.185077518
D1,L0,fc-replay,50,2,0.970817149
D2,L0,fc-replay,50,2,0.920233488
D3,L0,fc-replay,50,2,0.791828811
D4,L0,fc-replay,50,2,0.507782102
D5,L0,fc-replay,50,2,0.310311288
D6,L0,fc-replay,50,2,0.211089492
D7,L0,fc-replay,50,2,0.071984433
D8,L0,fc-replay,50,2,0.064202331
D9,L0,fc-replay,50,2,0.069066145
D10,L0,fc-replay,50,2,0.058365759
D1,L0,fc-cnn-replay,0,2,0.992079198
D2,L0,fc-cnn-replay,0,2,0.96732676
D3,L0,fc-cnn-replay,0,2,0.922772288
D4,L0,fc-cnn-replay,0,2,0.816831708
D5,L0,fc-cnn-replay,0,2,0.461386144
D6,L0,fc-cnn-replay,0,2,0.575247526
D7,L0,fc-cnn-replay,0,2,0.54752475
D8,L0,fc-cnn-replay,0,2,0.436633676
D9,L0,fc-cnn-replay,0,2,0.369306922
D10,L0,fc-cnn-replay,0,2,0.396039605
D1,L0,fc-cnn-replay,550,2,0.995155036
D2,L0,fc-cnn-replay,550,2,0.960271299
D3,L0,fc-cnn-replay,550,2,0.800387621
D4,L0,fc-cnn-replay,550,2,0.709302306
D5,L0,fc-cnn-replay,550,2,0.357558131
D6,L0,fc-cnn-replay,550,2,0.43217054
D7,L0,fc-cnn-replay,550,2,0.200581402
D8,L0,fc-cnn-replay,550,2,0.131782949
D9,L0,fc-cnn-replay,550,2,0.154069766
D10,L0,fc-cnn-replay,550,2,0.041666668
D1,L0,fc-cnn-replay,456,2,0.997356832
D2,L0,fc-cnn-replay,456,2,0.985022008
D3,L0,fc-cnn-replay,456,2,0.970044076
D4,L0,fc-cnn-replay,456,2,0.921585917
D5,L0,fc-cnn-replay,456,2,0.837004423
D6,L0,fc-cnn-replay,456,2,0.69074887
D7,L0,fc-cnn-replay,456,2,0.582378864
D8,L0,fc-cnn-replay,456,2,0.786784112
